day: day of measurement,,,,,,,,,
month: month of measurement,,,,,,,,,
year: year of measurement,,,,,,,,,
station: location of measurement     ,,,,,,,,,
"maxtp: Maximum Air Temperature (C)	  ",,,,,,,,,
mintp: Minimum  Air Temperature (C),,,,,,,,,
rain: Precipitation Amount (mm),,,,,,,,,
wdsp: Mean Wind Speed (knot),,,,,,,,,
hg: Highest Gust (knot),,,,,,,,,
sun: Sunshine duration (hours),,,,,,,,,
,,,,,,,,,
day,month,year,station,maxtp,mintp,rain,wdsp,hg,sun
24,dec,2018,Dublin Airport,9.1,4.3,0,7.2,19,0.1
25,dec,2018,Dublin Airport,11.6,3,0,3.1,11,0
26,dec,2018,Dublin Airport,11.4,6.6,0,4.3,18,1.5
27,dec,2018,Dublin Airport,9.7,8.2,0,3.4,9,0
28,dec,2018,Dublin Airport,11.8,8.5,0.1,6.9,21,0.4
29,dec,2018,Dublin Airport,12,9.4,0.1,9.8,29,2.4
30,dec,2018,Dublin Airport,11.5,9.1,0.1,7.5,20,1.1
31,dec,2018,Dublin Airport,10.1,8.7,0,7.6,21,0
1,jan,2019,Dublin Airport,9.2,1.8,0.2,7.5,19,0.1
2,jan,2019,Dublin Airport,7.6,1.6,0,4.2,12,0
3,jan,2019,Dublin Airport,7.9,4.9,0,4,12,0
4,jan,2019,Dublin Airport,6.5,4.6,0,4.8,12,0
5,jan,2019,Dublin Airport,8.4,2,0,5.2,16,1.1
6,jan,2019,Dublin Airport,10.1,7.8,0,5.2,14,0.2
7,jan,2019,Dublin Airport,11.3,5.3,0.2,12.7,31,0
8,jan,2019,Dublin Airport,8.3,1.2,0,9.6,21,4.9
9,jan,2019,Dublin Airport,8.1,1.9,0,5.9,13,3.5
10,jan,2019,Dublin Airport,10.1,5.7,2.1,6.4,13,0
11,jan,2019,Dublin Airport,9.8,6.7,0,8.5,28,0.4
12,jan,2019,Dublin Airport,10.1,7.1,0.2,17,33,0.1
13,jan,2019,Dublin Airport,10.8,5.3,0.4,18.8,36,1
14,jan,2019,Dublin Airport,8.2,5.3,0,9.8,19,0.6
15,jan,2019,Dublin Airport,9.5,6.9,0,9.3,24,0.3
16,jan,2019,Dublin Airport,8.8,1.2,0.3,9.8,32,4.2
17,jan,2019,Dublin Airport,3.5,-1.1,0,8.5,22,3.8
18,jan,2019,Dublin Airport,9.1,2.5,1.7,8.2,31,0.5
19,jan,2019,Dublin Airport,7.1,3.8,1.9,4.2,12,0.9
20,jan,2019,Dublin Airport,7.5,-1,0.1,8.2,24,0.7
21,jan,2019,Dublin Airport,6.5,-2.4,2.3,9.5,35,0
22,jan,2019,Dublin Airport,4.1,-0.1,0,11.3,24,2.6
23,jan,2019,Dublin Airport,4.5,-0.6,0,9.1,19,0
24,jan,2019,Dublin Airport,10.2,4.2,2.7,8.8,22,0.4
25,jan,2019,Dublin Airport,10.7,7.6,0,13,28,0.3
26,jan,2019,Dublin Airport,9.9,3.9,7.7,11.9,43,0.6
27,jan,2019,Dublin Airport,5.7,0.1,0,17.3,45,5.5
28,jan,2019,Dublin Airport,6.2,-0.7,0,9,20,4.8
29,jan,2019,Dublin Airport,3.9,-0.4,3,11.7,28,3.7
30,jan,2019,Dublin Airport,3.4,-3.4,0,8.5,27,6.6
31,jan,2019,Dublin Airport,4,-5.8,4,11.7,31,0
1,feb,2019,Dublin Airport,4.1,-1.2,0,11.7,27,5.6
2,feb,2019,Dublin Airport,4.9,-3.8,0,8.8,18,7.7
3,feb,2019,Dublin Airport,9,-0.3,0.9,9.6,26,0.1
4,feb,2019,Dublin Airport,9.5,-2.1,0,9.9,33,6.9
5,feb,2019,Dublin Airport,12.9,-2,2.3,9.8,26,0
6,feb,2019,Dublin Airport,10.8,3.1,3.8,8.8,22,4.4
7,feb,2019,Dublin Airport,8.9,0.6,5.6,12.3,39,4.7
8,feb,2019,Dublin Airport,11,3.4,11.2,17.7,45,5.1
9,feb,2019,Dublin Airport,8.6,2.4,1.4,13.8,52,7.2
10,feb,2019,Dublin Airport,7.1,1.2,2.6,14,39,6.4
11,feb,2019,Dublin Airport,8.9,2.1,0,7.1,20,4
12,feb,2019,Dublin Airport,12.5,6.3,0,10.2,29,0
13,feb,2019,Dublin Airport,11.3,9,0,12.2,27,0.5
14,feb,2019,Dublin Airport,12.8,2,0,5.5,23,7.1
15,feb,2019,Dublin Airport,15.6,-0.3,0,12.6,34,6.1
16,feb,2019,Dublin Airport,12.5,6.8,0,12,33,1.6
17,feb,2019,Dublin Airport,11.6,7.7,0.1,14.6,31,5.9
18,feb,2019,Dublin Airport,10,5.3,0,11.7,28,4.9
19,feb,2019,Dublin Airport,10.3,3.7,2.2,10.4,30,0.1
20,feb,2019,Dublin Airport,13.3,9.9,0,13.1,32,0.8
21,feb,2019,Dublin Airport,14.2,9.5,0,10.8,26,8
22,feb,2019,Dublin Airport,14.8,8.7,0,11.5,34,0.1
23,feb,2019,Dublin Airport,13.8,0.3,0.2,9.5,27,1.1
24,feb,2019,Dublin Airport,10.5,-0.4,0,7.3,22,0.1
25,feb,2019,Dublin Airport,14.7,2.5,0,6.3,17,6.6
26,feb,2019,Dublin Airport,14.5,-0.8,0,4.7,17,10
27,feb,2019,Dublin Airport,13.2,-1.9,0,4.5,15,7.1
28,feb,2019,Dublin Airport,11.2,5.3,0.2,6.3,19,0.3
1,mar,2019,Dublin Airport,15,5,5.9,5.9,18,5.8
2,mar,2019,Dublin Airport,12.4,5,2.6,12.2,40,1.4
3,mar,2019,Dublin Airport,7,-0.2,22,10.3,28,0
4,mar,2019,Dublin Airport,6.8,0.7,0.6,10.2,29,4.8
5,mar,2019,Dublin Airport,10.6,3.3,13.3,12.9,31,5.5
6,mar,2019,Dublin Airport,11.6,4.4,1.4,12.5,29,0.8
7,mar,2019,Dublin Airport,10,2.7,1.9,17.2,38,2
8,mar,2019,Dublin Airport,10.4,1.8,1.5,10.2,32,0.3
9,mar,2019,Dublin Airport,9.6,3.8,4.2,13.2,42,4.7
10,mar,2019,Dublin Airport,6.8,0.4,5.4,13.7,45,7.6
11,mar,2019,Dublin Airport,10.7,0.8,0.4,13.8,38,4.5
12,mar,2019,Dublin Airport,11.2,3.7,4.6,17.4,45,4.9
13,mar,2019,Dublin Airport,9.6,5.1,0.6,23.1,47,6.3
14,mar,2019,Dublin Airport,11,6.9,8.4,18.3,41,4.2
15,mar,2019,Dublin Airport,11.3,5.1,6.2,17.3,42,5.2
16,mar,2019,Dublin Airport,11.8,2.2,10.9,16.1,41,1.1
17,mar,2019,Dublin Airport,10.7,0.6,0.2,15.2,33,6.6
18,mar,2019,Dublin Airport,11.5,4.1,0.4,11.4,25,1.2
19,mar,2019,Dublin Airport,13.6,6.2,0.8,8.2,22,2.6
20,mar,2019,Dublin Airport,16.8,8.1,0.4,7.2,20,3.5
21,mar,2019,Dublin Airport,13.1,9.6,0,6.8,20,0.5
22,mar,2019,Dublin Airport,11.4,4.8,0.6,11.7,29,0.1
23,mar,2019,Dublin Airport,9.8,2.3,0,5.1,14,5.5
24,mar,2019,Dublin Airport,10.4,1.8,0,13.3,33,7.1
25,mar,2019,Dublin Airport,11.6,3.9,0,7.3,18,4.8
26,mar,2019,Dublin Airport,13.2,2.9,0,7,21,8.1
27,mar,2019,Dublin Airport,13,1.7,0,5.9,20,6.1
28,mar,2019,Dublin Airport,16.1,0.8,0,5.3,16,11.4
29,mar,2019,Dublin Airport,12.8,2.4,0,5.3,17,9.8
30,mar,2019,Dublin Airport,12.2,0.5,0.2,7.5,18,3.4
31,mar,2019,Dublin Airport,10.4,-2.1,0,8.3,21,2.8
1,apr,2019,Dublin Airport,12.5,5.2,2.7,7.4,20,1.5
2,apr,2019,Dublin Airport,8.2,0.8,0.5,12.5,27,7.8
3,apr,2019,Dublin Airport,7.8,1.1,8,15.1,33,4.4
4,apr,2019,Dublin Airport,8.1,1.5,12.5,13,30,3.3
5,apr,2019,Dublin Airport,8.8,-0.3,2.2,6.7,21,0.5
6,apr,2019,Dublin Airport,10.3,1,0.6,9.4,25,6.1
7,apr,2019,Dublin Airport,11.4,-0.8,0,9.2,22,7
8,apr,2019,Dublin Airport,9.4,6.4,2.8,7.6,22,0
9,apr,2019,Dublin Airport,10.5,5.1,0.2,11.6,24,5
10,apr,2019,Dublin Airport,8.9,1.2,0,9,20,12
11,apr,2019,Dublin Airport,11.6,-2,0,3.2,12,3
12,apr,2019,Dublin Airport,9.9,0.2,0,7.2,18,2.7
13,apr,2019,Dublin Airport,8.7,6.6,0,14.7,32,5.1
14,apr,2019,Dublin Airport,7.6,5.1,0,15,32,0.1
15,apr,2019,Dublin Airport,9.6,4.5,15.8,16.7,38,0
16,apr,2019,Dublin Airport,9.6,4.4,2.6,7.8,20,0.3
17,apr,2019,Dublin Airport,12.5,-0.8,0,6.3,15,2.3
18,apr,2019,Dublin Airport,14.9,3.7,0,5.5,13,10
19,apr,2019,Dublin Airport,19,2.5,0,4.8,16,6.1
20,apr,2019,Dublin Airport,20.4,5.6,0,4.3,12,10.5
21,apr,2019,Dublin Airport,21.7,8.2,0,6.7,24,12.2
22,apr,2019,Dublin Airport,19.3,5.4,0,7.7,21,11.3
23,apr,2019,Dublin Airport,17.1,6.5,0,5.7,18,5
24,apr,2019,Dublin Airport,14.6,7.9,7.8,6.2,16,0.2
25,apr,2019,Dublin Airport,11,6.9,2.7,6.9,19,0.1
26,apr,2019,Dublin Airport,11.5,5.4,4.8,11.8,37,0.2
27,apr,2019,Dublin Airport,11.7,5,8,24,46,6.9
28,apr,2019,Dublin Airport,11.3,4.6,0,5.5,14,0
29,apr,2019,Dublin Airport,11.4,8.8,1.2,9.1,19,0
30,apr,2019,Dublin Airport,12.4,8.3,2.2,7.3,19,0.1
1,may,2019,Dublin Airport,14.9,6.9,0.2,8.5,19,7
2,may,2019,Dublin Airport,14.1,6.1,1.4,9.4,23,1.9
3,may,2019,Dublin Airport,11.4,2.8,0,9.5,21,2.8
4,may,2019,Dublin Airport,11.2,0.3,0,8.9,26,10.1
5,may,2019,Dublin Airport,11,-0.8,0,6.2,17,4.6
6,may,2019,Dublin Airport,11.6,1.4,0,4.8,12,3
7,may,2019,Dublin Airport,11.5,4.4,0.2,6.2,20,3.9
8,may,2019,Dublin Airport,8.9,7.1,4.8,14.8,32,0
9,may,2019,Dublin Airport,9.1,5.9,13.7,6.9,18,0.9
10,may,2019,Dublin Airport,11.9,1.7,0.1,5.1,14,5.8
11,may,2019,Dublin Airport,13.7,1.6,0,7.8,21,8.4
12,may,2019,Dublin Airport,15.2,1.2,0,7.2,18,7.3
13,may,2019,Dublin Airport,18,6.7,0,7.2,21,14.2
14,may,2019,Dublin Airport,17.8,2.9,0,6.8,19,12.8
15,may,2019,Dublin Airport,17.6,3.4,0,6.7,21,8.9
16,may,2019,Dublin Airport,15.4,3.9,0,6.2,17,3
17,may,2019,Dublin Airport,13.9,7,0.4,8.1,21,1.4
18,may,2019,Dublin Airport,13.1,7,0,7.5,18,2.1
19,may,2019,Dublin Airport,13.7,5.1,0.2,7.5,21,0.1
20,may,2019,Dublin Airport,15.4,3.5,0.5,6.3,20,8.4
21,may,2019,Dublin Airport,15.7,2,0,5.1,14,9.8
22,may,2019,Dublin Airport,14.6,8.7,0,4.7,,1.2
23,may,2019,Dublin Airport,16.8,9.5,0.1,4.4,13,0.4
24,may,2019,Dublin Airport,17.5,10.7,0.3,6.8,16,1.4
25,may,2019,Dublin Airport,18.6,10.5,0,7.2,23,0.1
26,may,2019,Dublin Airport,17.3,10.9,0.4,15.3,31,6
27,may,2019,Dublin Airport,15.6,7.8,8.3,11.7,32,4.2
28,may,2019,Dublin Airport,15.2,7.1,0,8,21,4.8
29,may,2019,Dublin Airport,16.5,9.4,1.9,8.2,25,0.1
30,may,2019,Dublin Airport,20.9,13.8,0.4,9.9,28,0.5
31,may,2019,Dublin Airport,18,10.3,0.5,10.5,28,3.9
1,jun,2019,Dublin Airport,18.6,5.7,1.9,4.5,16,0.8
2,jun,2019,Dublin Airport,18.1,10.4,0.3,12.2,35,5.9
3,jun,2019,Dublin Airport,16.2,8.6,1.7,9.5,27,7.4
4,jun,2019,Dublin Airport,11.9,7,24.2,6.2,19,0
5,jun,2019,Dublin Airport,11.9,8.3,1.6,11.3,24,0.5
6,jun,2019,Dublin Airport,15.3,4.9,0,7.2,21,5
7,jun,2019,Dublin Airport,14.3,2,0,6.1,22,4.7
8,jun,2019,Dublin Airport,16.5,8.1,0.1,12.5,26,4.7
9,jun,2019,Dublin Airport,16.3,7.8,2.7,7.2,26,7.6
10,jun,2019,Dublin Airport,15.1,8.1,0,7.3,20,9
11,jun,2019,Dublin Airport,15.4,7.6,0,11.4,23,8.7
12,jun,2019,Dublin Airport,11.1,9.4,5.1,11.5,29,0
13,jun,2019,Dublin Airport,12.1,8.3,1.3,9.1,19,0.1
14,jun,2019,Dublin Airport,14,6.4,6.9,5.6,21,1.3
15,jun,2019,Dublin Airport,16.4,8.4,10.5,6.5,19,3.9
16,jun,2019,Dublin Airport,16.4,6.8,2.2,6.1,25,1.9
17,jun,2019,Dublin Airport,18.2,9.4,0.2,8.1,24,7.9
18,jun,2019,Dublin Airport,17,8.1,0,5.6,17,7.7
19,jun,2019,Dublin Airport,16.7,9.6,0.6,7.8,23,3.4
20,jun,2019,Dublin Airport,16.5,7.8,1.3,8.3,21,8.7
21,jun,2019,Dublin Airport,15.8,6.4,0,6.7,16,7.4
22,jun,2019,Dublin Airport,17.1,3.9,0,6.3,18,12
23,jun,2019,Dublin Airport,17.4,10.2,19.6,8.1,24,0.1
24,jun,2019,Dublin Airport,18.3,11.4,2,6.1,22,2.3
25,jun,2019,Dublin Airport,18,10.9,0,7.7,26,3.7
26,jun,2019,Dublin Airport,17.6,11.2,0,11.2,25,8.1
27,jun,2019,Dublin Airport,18.5,11.7,0,12.5,24,15.5
28,jun,2019,Dublin Airport,22.7,12.6,0,7.5,23,10
29,jun,2019,Dublin Airport,20.9,13.3,0.3,5.3,16,4.5
30,jun,2019,Dublin Airport,19.8,12.5,0.4,11.5,31,7
1,jul,2019,Dublin Airport,18.2,7.8,0.4,11.2,24,3.4
2,jul,2019,Dublin Airport,16.9,7.5,0,6.3,17,2
3,jul,2019,Dublin Airport,18,4.4,,6,16,15.5
4,jul,2019,Dublin Airport,22.2,6.2,0,6.1,18,9.7
5,jul,2019,Dublin Airport,20.1,9.6,0,8.6,19,5.6
6,jul,2019,Dublin Airport,16.8,11.3,0.8,6.7,19,1
7,jul,2019,Dublin Airport,18.6,8.9,0,5.9,17,13
8,jul,2019,Dublin Airport,17.2,7.7,1.1,3.9,10,0
9,jul,2019,Dublin Airport,22.6,13.5,0,5.2,16,2.7
10,jul,2019,Dublin Airport,20.4,13.5,6.8,5.9,19,1.2
11,jul,2019,Dublin Airport,21.1,13.6,1,9.9,21,9.1
12,jul,2019,Dublin Airport,18.2,12.9,0,12.5,25,0.5
13,jul,2019,Dublin Airport,19.1,8.8,0,8.4,19,5.8
14,jul,2019,Dublin Airport,18.5,7.1,0,6.1,16,13.4
15,jul,2019,Dublin Airport,23.2,8,0,5.1,18,8.7
16,jul,2019,Dublin Airport,22.3,15.2,0,5.3,15,2
17,jul,2019,Dublin Airport,20,12.6,1.9,8,24,0.8
18,jul,2019,Dublin Airport,20.6,12.2,0,9,23,7.2
19,jul,2019,Dublin Airport,22.5,13.2,3.9,6.7,24,3.3
20,jul,2019,Dublin Airport,18.6,13.6,0.7,9.5,23,1.4
21,jul,2019,Dublin Airport,20,11.3,6.9,10.1,30,1
22,jul,2019,Dublin Airport,24.9,17.8,0,12.6,30,10.2
23,jul,2019,Dublin Airport,23.1,14.7,0,8.5,22,12.5
24,jul,2019,Dublin Airport,24.2,15.7,0,7.8,20,4.9
25,jul,2019,Dublin Airport,22.3,15.9,0,10.8,24,2.1
26,jul,2019,Dublin Airport,22.7,13.2,0.1,8.6,23,4.6
27,jul,2019,Dublin Airport,20.9,10,0,8.2,21,8.9
28,jul,2019,Dublin Airport,20.6,9.9,0,9.7,23,8.6
29,jul,2019,Dublin Airport,20,12.2,1.6,5.5,17,5.8
30,jul,2019,Dublin Airport,19,12.6,15.8,9.1,20,0.3
31,jul,2019,Dublin Airport,19.9,12.3,0,10.1,20,1.7
1,aug,2019,Dublin Airport,20.1,10.2,0,5.5,13,11.8
2,aug,2019,Dublin Airport,21.7,8.5,0,6.2,16,13
3,aug,2019,Dublin Airport,19.8,12.6,0.9,6.8,18,0.4
4,aug,2019,Dublin Airport,20.7,13.6,5.9,6.9,20,4.6
5,aug,2019,Dublin Airport,21.6,12.1,0.1,8.9,25,8.2
6,aug,2019,Dublin Airport,18.8,13.7,5.4,8.9,26,2.3
7,aug,2019,Dublin Airport,21.3,11.8,0.3,9.5,22,5.8
8,aug,2019,Dublin Airport,19.1,11,2.9,8.8,28,6.6
9,aug,2019,Dublin Airport,19,14.7,22.8,11.8,33,2.9
10,aug,2019,Dublin Airport,19.1,13.9,14,10.9,31,0.4
11,aug,2019,Dublin Airport,17.7,8,2.6,11.4,23,2.7
12,aug,2019,Dublin Airport,17.1,7.8,4.8,6.5,24,8
13,aug,2019,Dublin Airport,17.4,8,4.5,5.5,16,6.3
14,aug,2019,Dublin Airport,21.3,13.6,2.8,9,30,1.7
15,aug,2019,Dublin Airport,20,12.7,0,12.2,29,7
16,aug,2019,Dublin Airport,22,13.4,13.3,10.2,28,3.5
17,aug,2019,Dublin Airport,18.7,11.7,0.3,10,27,9.4
18,aug,2019,Dublin Airport,17.9,11.4,0.7,11.1,28,5.3
19,aug,2019,Dublin Airport,17.1,10.5,2.2,10.6,26,8.3
20,aug,2019,Dublin Airport,16.7,8.3,1.9,7,19,4.1
21,aug,2019,Dublin Airport,16.2,11.3,3.8,9.2,28,2.3
22,aug,2019,Dublin Airport,20.5,13.7,0.3,8.4,26,2.1
23,aug,2019,Dublin Airport,22.3,9.2,0,6.4,21,9.5
24,aug,2019,Dublin Airport,21.3,8.3,0,6.6,19,7.9
25,aug,2019,Dublin Airport,20.5,9.9,0,4.8,15,3.8
26,aug,2019,Dublin Airport,19.9,10.1,0,5.5,16,11
27,aug,2019,Dublin Airport,22,11.9,0,6.5,20,6.7
28,aug,2019,Dublin Airport,18.9,11.5,0.3,8.7,26,5.3
29,aug,2019,Dublin Airport,19.5,12.3,0.3,10.2,32,2.5
30,aug,2019,Dublin Airport,20.3,15.2,0.1,13.7,34,1.1
31,aug,2019,Dublin Airport,17.6,9.7,1.7,14.5,30,8.9
1,sep,2019,Dublin Airport,17,8.4,0.2,11.4,26,5.2
2,sep,2019,Dublin Airport,16,10.7,2.3,9.2,26,2.8
3,sep,2019,Dublin Airport,20.9,13.1,1.6,9.4,25,1.8
4,sep,2019,Dublin Airport,16.2,8.1,1.7,15.9,41,5.8
5,sep,2019,Dublin Airport,18,6.9,0,12.1,27,7.1
6,sep,2019,Dublin Airport,17.2,10.3,1.6,13.8,29,3.2
7,sep,2019,Dublin Airport,17.2,6.5,0,7.6,18,4.2
8,sep,2019,Dublin Airport,18.3,9.3,0.2,5,15,2.3
9,sep,2019,Dublin Airport,16.7,6.8,3.8,9.9,27,4.5
10,sep,2019,Dublin Airport,16.2,6,0,9.1,28,5
11,sep,2019,Dublin Airport,18.5,13.2,0.2,12.1,28,6.7
12,sep,2019,Dublin Airport,20,7.1,0.7,9.7,28,1.7
13,sep,2019,Dublin Airport,17.9,6.1,0,6.1,13,10.3
14,sep,2019,Dublin Airport,19.7,3.4,0,7.1,25,10.7
15,sep,2019,Dublin Airport,15.5,11.4,8.7,7.7,23,0
16,sep,2019,Dublin Airport,14,6.4,1.9,6.4,14,0.7
17,sep,2019,Dublin Airport,16.1,4.7,0,5.5,18,11.7
18,sep,2019,Dublin Airport,19.1,4,0,3.8,11,11.8
19,sep,2019,Dublin Airport,18.8,5.7,0,4.4,12,11.8
20,sep,2019,Dublin Airport,17.5,9.7,0.1,8,26,9.5
21,sep,2019,Dublin Airport,20,11.8,1.1,10.5,30,7.2
22,sep,2019,Dublin Airport,18.3,12,18.7,7.8,25,1.4
23,sep,2019,Dublin Airport,16.8,8.8,6.2,8,28,1.5
24,sep,2019,Dublin Airport,19.7,9.1,4.9,4.8,15,3.8
25,sep,2019,Dublin Airport,18.7,12.2,1.8,7,21,2
26,sep,2019,Dublin Airport,16.6,11.1,3.9,9.5,31,1.8
27,sep,2019,Dublin Airport,16,10.9,2.9,11.2,28,4.4
28,sep,2019,Dublin Airport,16.7,11.1,10.7,9.9,25,1.3
29,sep,2019,Dublin Airport,16.4,8.6,7.6,12,28,3.2
30,sep,2019,Dublin Airport,13.3,5.4,23.8,8.9,31,0.6
1,oct,2019,Dublin Airport,12.4,3.8,5.6,14.6,44,0.5
2,oct,2019,Dublin Airport,12,2.1,0,5.9,14,6.3
3,oct,2019,Dublin Airport,15.5,4.6,1.8,11.2,36,0.1
4,oct,2019,Dublin Airport,15,8.7,7.7,9.2,28,2.3
5,oct,2019,Dublin Airport,14.9,8.5,12.1,7.6,21,0
6,oct,2019,Dublin Airport,15,8.8,0.2,11.3,24,8.4
7,oct,2019,Dublin Airport,16.4,10.3,7.6,10.5,29,2.8
8,oct,2019,Dublin Airport,14.2,9.5,0.2,11.7,33,7
9,oct,2019,Dublin Airport,13.7,7.9,0.6,10.4,28,7.4
10,oct,2019,Dublin Airport,15.8,9.1,3,11.5,33,1
11,oct,2019,Dublin Airport,14.6,9.1,0.1,9.2,28,2.4
12,oct,2019,Dublin Airport,15.2,6.2,0,5.3,26,7.9
13,oct,2019,Dublin Airport,13.2,3.3,8.6,4.4,14,2.4
14,oct,2019,Dublin Airport,14.3,2.1,9,6.4,20,1.2
15,oct,2019,Dublin Airport,14.6,4.3,1.3,6.5,21,4.9
16,oct,2019,Dublin Airport,13.5,6.8,2,8.1,23,8.6
17,oct,2019,Dublin Airport,13.9,6.6,1.5,8,25,2.9
18,oct,2019,Dublin Airport,11.8,3.9,0.3,6.8,17,3.9
19,oct,2019,Dublin Airport,11.8,4.9,1.1,9.7,19,0.4
20,oct,2019,Dublin Airport,11.4,4.4,0,9.4,22,5.1
21,oct,2019,Dublin Airport,11.8,0.5,0,5.1,11,5.7
22,oct,2019,Dublin Airport,10.8,5.2,0,6.3,18,0
23,oct,2019,Dublin Airport,13.5,10.3,0.4,9.4,25,0.1
24,oct,2019,Dublin Airport,13.4,1.6,1,7.7,27,5.8
25,oct,2019,Dublin Airport,6.6,1.1,8.9,5,15,0
26,oct,2019,Dublin Airport,8.7,2.8,0.6,8.5,24,6
27,oct,2019,Dublin Airport,9.9,-0.9,0,8,19,8.8
28,oct,2019,Dublin Airport,9.8,-1.4,0,9.5,26,5.8
29,oct,2019,Dublin Airport,10.4,6.2,0,14.3,27,3.8
30,oct,2019,Dublin Airport,10.9,7.8,0,13.7,27,1.7
31,oct,2019,Dublin Airport,11.7,8.2,3.6,8,19,0
1,nov,2019,Dublin Airport,13.4,10.1,6.8,7.9,23,0
2,nov,2019,Dublin Airport,10.6,2.8,,6.1,20,1.1
3,nov,2019,Dublin Airport,7.9,4.2,0.2,7,15,0.1
4,nov,2019,Dublin Airport,9.9,5.1,12.3,10,31,0
5,nov,2019,Dublin Airport,10.2,5.3,0,10.2,31,0
6,nov,2019,Dublin Airport,9.8,3.6,2.4,5.2,19,1.2
7,nov,2019,Dublin Airport,8.4,4.3,15.8,13.4,28,0
8,nov,2019,Dublin Airport,8.1,1.6,0,7.3,22,6.6
9,nov,2019,Dublin Airport,7.4,3.9,14.4,14,36,0.1
10,nov,2019,Dublin Airport,7.2,0.9,9.3,7.3,27,1.2
11,nov,2019,Dublin Airport,7.8,2.7,0.1,15.4,34,4.8
12,nov,2019,Dublin Airport,8.3,2.2,0,15.5,35,2.2
13,nov,2019,Dublin Airport,7.5,1.7,17,10.5,35,0.1
14,nov,2019,Dublin Airport,7.2,1.6,2.2,15.6,33,4.4
15,nov,2019,Dublin Airport,7.4,1.4,0,13.2,25,3.4
16,nov,2019,Dublin Airport,3.9,0.5,0,7.6,15,0.8
17,nov,2019,Dublin Airport,7.3,-0.4,0,8.1,18,4.8
18,nov,2019,Dublin Airport,9,-2.4,0,4.8,13,6.6
19,nov,2019,Dublin Airport,10.7,0.3,0.2,7.7,26,1.6
20,nov,2019,Dublin Airport,9.5,3,9.1,15.4,36,0
21,nov,2019,Dublin Airport,8,6.1,7.4,11,28,0
22,nov,2019,Dublin Airport,8.8,5.2,22.9,7.6,18,0.1
23,nov,2019,Dublin Airport,9.7,6.2,5,9.3,23,0
24,nov,2019,Dublin Airport,9.8,3,2.3,5.3,21,0
25,nov,2019,Dublin Airport,11.7,8.9,15.6,6.5,20,0.1
26,nov,2019,Dublin Airport,11.9,7.2,6.3,9.8,34,0.1
27,nov,2019,Dublin Airport,10.5,4.3,0.4,6.8,17,0.1
28,nov,2019,Dublin Airport,8.9,3.6,1,8.2,20,0
29,nov,2019,Dublin Airport,7,-0.2,0.5,6.1,15,1.1
30,nov,2019,Dublin Airport,7.7,-0.7,0,7.8,17,0.8
1,dec,2019,Dublin Airport,5.7,-1.2,0.8,5.8,14,2.5
2,dec,2019,Dublin Airport,5.6,-0.5,0,5.6,13,0.9
3,dec,2019,Dublin Airport,9.2,-0.5,0,4.8,18,6.8
4,dec,2019,Dublin Airport,9.3,5.3,0,8.8,25,2.5
5,dec,2019,Dublin Airport,12.2,5.4,0.1,13.1,36,0
6,dec,2019,Dublin Airport,11.7,6.4,2.9,13.2,32,1
7,dec,2019,Dublin Airport,12.3,6.5,3,12.4,44,0.8
8,dec,2019,Dublin Airport,11.2,4.5,6,16.8,46,2
9,dec,2019,Dublin Airport,8.5,4.3,0,11.9,44,6.3
10,dec,2019,Dublin Airport,13.8,4.2,4.6,16,45,0
11,dec,2019,Dublin Airport,4.9,2.1,0,11.9,28,5.7
12,dec,2019,Dublin Airport,8.2,3.2,10.4,9,32,0.1
13,dec,2019,Dublin Airport,7.3,3.2,0.2,15.2,35,3.4
14,dec,2019,Dublin Airport,5.2,1.7,0.5,11.1,29,4.2
15,dec,2019,Dublin Airport,5.6,0.6,0.1,9,30,1.9
16,dec,2019,Dublin Airport,6,2.1,0,9,27,6.5
17,dec,2019,Dublin Airport,4.1,-2.9,0.1,5.9,15,0.1
18,dec,2019,Dublin Airport,11.8,-2.9,4.3,15.5,43,0
19,dec,2019,Dublin Airport,10,6.3,14.7,6.6,27,0
20,dec,2019,Dublin Airport,7.6,-1.2,2.3,5.5,19,4.4
21,dec,2019,Dublin Airport,5.1,-1.4,0,4.8,12,0.4
22,dec,2019,Dublin Airport,7.5,3.8,0,8,22,1
23,dec,2019,Dublin Airport,8.4,4.9,1.4,9,27,4.2
24,dec,2019,Dublin Airport,7.9,2.5,1.6,10,24,0.2
25,dec,2019,Dublin Airport,7.7,0.7,0,7.8,28,3.8
26,dec,2019,Dublin Airport,9.7,6.5,3.9,8.7,31,0.1
27,dec,2019,Dublin Airport,13.7,6.2,0.6,5.9,19,0.4
28,dec,2019,Dublin Airport,13.3,7.3,0,6,23,0
29,dec,2019,Dublin Airport,13,3.1,0,6.3,26,0.1
30,dec,2019,Dublin Airport,11,2.9,0.2,6.9,20,0.5
31,dec,2019,Dublin Airport,9,4.1,0,6.2,16,0.2
1,jan,2018,Shannon Airport,9.5,3.9,3.5,11.8,37,3
2,jan,2018,Shannon Airport,12.3,4,11,17.5,55,0
3,jan,2018,Shannon Airport,9.8,4.7,5.6,20.6,52,0.1
4,jan,2018,Shannon Airport,12.1,4.4,6.9,13.2,52,2.5
5,jan,2018,Shannon Airport,8.5,3.1,2,7.1,21,3
6,jan,2018,Shannon Airport,5.9,0.3,0.1,10.7,26,4.8
7,jan,2018,Shannon Airport,4.8,-2.8,0,3,14,6.3
