day: day of measurement,,,,,,,,,
month: month of measurement,,,,,,,,,
year: year of measurement,,,,,,,,,
station: location of measurement     ,,,,,,,,,
"maxtp: Maximum Air Temperature (C)	  ",,,,,,,,,
mintp: Minimum  Air Temperature (C),,,,,,,,,
rain: Precipitation Amount (mm),,,,,,,,,
wdsp: Mean Wind Speed (knot),,,,,,,,,
hg: Highest Gust (knot),,,,,,,,,
sun: Sunshine duration (hours),,,,,,,,,
,,,,,,,,,
day,month,year,station,maxtp,mintp,rain,wdsp,hg,sun
22,mar,2018,Dublin Airport,9.6,4.3,1,11.4,31,0.8
23,mar,2018,Dublin Airport,9.8,4.1,1.2,12.3,35,1.4
24,mar,2018,Dublin Airport,11.1,1.4,0.2,5.7,14,8.6
25,mar,2018,Dublin Airport,11.6,1.5,0,7.9,18,6.9
26,mar,2018,Dublin Airport,11.3,2.4,2.6,8.6,24,3
27,mar,2018,Dublin Airport,10.2,3.9,3.4,13.2,31,3.4
28,mar,2018,Dublin Airport,9.2,2,0.2,10.2,27,5.5
29,mar,2018,Dublin Airport,6.6,-2.5,7.5,7.7,23,1.5
30,mar,2018,Dublin Airport,7,1.5,5.5,7.4,21,0.5
31,mar,2018,Dublin Airport,7,0.3,0,10.7,22,0.7
1,apr,2018,Dublin Airport,6.2,2,2,11.3,28,1.2
2,apr,2018,Dublin Airport,7.1,2.6,18.2,12.2,31,0
3,apr,2018,Dublin Airport,12.8,4.2,4,9,32,5.1
4,apr,2018,Dublin Airport,6.9,-0.6,9.2,11.4,32,0.1
5,apr,2018,Dublin Airport,7.9,-2.1,0,12.8,35,6.8
6,apr,2018,Dublin Airport,13,6,1.7,16.7,35,2.5
7,apr,2018,Dublin Airport,12.9,4,3.7,4.8,18,1.7
8,apr,2018,Dublin Airport,12.8,5.2,5.6,5.9,14,6.6
9,apr,2018,Dublin Airport,12.1,5.5,0.7,7.3,21,2.2
10,apr,2018,Dublin Airport,8,6.2,3.7,12.8,24,0
11,apr,2018,Dublin Airport,8.5,6.6,0.2,10.7,24,0.1
12,apr,2018,Dublin Airport,7.5,6.1,0.5,9.4,20,0
13,apr,2018,Dublin Airport,8.7,5.7,0.5,5.3,14,0.3
14,apr,2018,Dublin Airport,12.3,4.1,0.2,10,24,4.1
15,apr,2018,Dublin Airport,10.3,7.6,2.4,15.6,33,0.2
16,apr,2018,Dublin Airport,12.8,7.5,0.6,16.7,40,3.4
17,apr,2018,Dublin Airport,15.9,10.1,1.4,18.5,42,6.8
18,apr,2018,Dublin Airport,18.8,9.6,0,13.2,34,7.3
19,apr,2018,Dublin Airport,18.4,7,0,8.7,30,10.6
20,apr,2018,Dublin Airport,17.4,4.6,0,7.4,23,10.9
21,apr,2018,Dublin Airport,15.8,1.6,0,7.2,24,13.4
22,apr,2018,Dublin Airport,14,7.7,2.4,15.2,32,4.9
23,apr,2018,Dublin Airport,14.7,8.4,0,16.2,36,0.9
24,apr,2018,Dublin Airport,10.8,6.5,6.5,10.1,29,1.1
25,apr,2018,Dublin Airport,12.2,5.7,3.7,16.2,41,7.1
26,apr,2018,Dublin Airport,11.8,3,0.5,13.9,35,7.9
27,apr,2018,Dublin Airport,9.9,1.1,1.2,7.7,19,4.3
28,apr,2018,Dublin Airport,11.7,-0.7,0,6.2,15,13
29,apr,2018,Dublin Airport,10.5,-1.5,0,6.9,18,10
30,apr,2018,Dublin Airport,14.6,-1.5,0,6.1,15,11.5
1,may,2018,Dublin Airport,11.4,5,2.4,13.2,36,0.7
2,may,2018,Dublin Airport,12.6,5.7,2.1,13.5,30,7.9
3,may,2018,Dublin Airport,12.8,6.1,0.5,11.1,24,0.1
4,may,2018,Dublin Airport,17.6,6.7,0,8.4,23,
5,may,2018,Dublin Airport,21.2,9.2,0,7,23,7.2
6,may,2018,Dublin Airport,22.2,4.7,0,6,15,13.9
7,may,2018,Dublin Airport,19.6,7.4,0,5.4,20,6.5
8,may,2018,Dublin Airport,16.3,8.3,0.4,11.9,28,6.1
9,may,2018,Dublin Airport,11.6,6.3,1.6,11.4,30,0.2
10,may,2018,Dublin Airport,13.9,5.1,0,11.2,25,10.5
11,may,2018,Dublin Airport,12,4.9,2.1,12.8,35,2.8
12,may,2018,Dublin Airport,14.3,0.4,3.8,6.8,22,10.2
13,may,2018,Dublin Airport,15.6,5.3,0,7.7,18,10.6
14,may,2018,Dublin Airport,16.1,7.6,0,4.6,12,0.4
15,may,2018,Dublin Airport,17.4,4.5,,,25,3.4
16,may,2018,Dublin Airport,13.6,2,0,10.2,23,14.6
17,may,2018,Dublin Airport,14.1,2.4,0,7.6,19,12.1
18,may,2018,Dublin Airport,16.9,1.6,0,5.9,20,9
19,may,2018,Dublin Airport,19.9,3.3,0,8.1,24,11.1
20,may,2018,Dublin Airport,17.9,11.7,1.3,7.3,20,0.1
21,may,2018,Dublin Airport,16.8,6.6,0.6,7.3,22,0.1
22,may,2018,Dublin Airport,14.7,4.5,0,7.7,16,7.8
23,may,2018,Dublin Airport,15.1,3.8,0,7.5,18,14.6
24,may,2018,Dublin Airport,14.7,4.1,0.2,5.8,15,1.3
25,may,2018,Dublin Airport,21.2,9.4,0.1,13.3,28,11.7
26,may,2018,Dublin Airport,17.9,11.6,0,13.2,26,5.2
27,may,2018,Dublin Airport,16.5,10.2,3.2,9.4,26,4.1
28,may,2018,Dublin Airport,19.4,7.3,0.1,6,14,15.1
29,may,2018,Dublin Airport,20.2,8.9,0,9.1,22,14.9
30,may,2018,Dublin Airport,19.3,7.3,0,6.6,16,6.9
31,may,2018,Dublin Airport,20.7,9.3,0.1,7.5,21,9.4
1,jun,2018,Dublin Airport,20.8,10,1,3.9,15,0.8
2,jun,2018,Dublin Airport,20.4,12,0,5.3,13,5.3
3,jun,2018,Dublin Airport,19,7.5,0,6.1,16,11.6
4,jun,2018,Dublin Airport,20.6,5.6,0,6.6,19,11
5,jun,2018,Dublin Airport,16.5,6.6,0,6.8,16,4.6
6,jun,2018,Dublin Airport,18.6,5.7,0,5.6,16,15.6
7,jun,2018,Dublin Airport,21.3,6.3,0,6.2,15,9.9
8,jun,2018,Dublin Airport,21,8.5,0,5.8,14,13
9,jun,2018,Dublin Airport,21.5,8.6,0,6.2,16,15.5
10,jun,2018,Dublin Airport,20,8.5,0,6.6,15,10.7
11,jun,2018,Dublin Airport,18,11.6,0,7.8,19,1.7
12,jun,2018,Dublin Airport,16.5,8.8,0,6.6,17,0.6
13,jun,2018,Dublin Airport,17.9,8.8,0.5,13,35,0.7
14,jun,2018,Dublin Airport,19.4,10.8,0,22.2,48,8.3
15,jun,2018,Dublin Airport,17.1,10.1,0,11.7,22,2.1
16,jun,2018,Dublin Airport,18.2,10.6,2.6,14.6,30,5.3
17,jun,2018,Dublin Airport,19.4,10.5,0.4,13.4,30,0.5
18,jun,2018,Dublin Airport,18.4,10.9,0.1,13.8,29,2.4
